figure,dgp,T,c,paper,reproduced,difference,within_band
2,1,500,0.01,0.0519713261648745,0.05566666666666666,0.0036953405017921617,True
2,1,100,0.01,0.0752688172043011,0.05366666666666666,-0.021602150537634444,True
2,1,500,0.03,0.0806451612903225,0.06733333333333334,-0.013311827956989153,True
2,1,100,0.03,0.0645161290322581,0.06233333333333333,-0.0021827956989247735,True
2,1,500,0.06,0.1111111111111111,0.09700000000000002,-0.014111111111111088,True
2,1,100,0.06,0.0842293906810036,0.067,-0.017229390681003598,True
2,1,500,0.12,0.2903225806451612,0.27266666666666667,-0.01765591397849453,True
2,1,100,0.12,0.1075268817204301,0.09333333333333332,-0.014193548387096772,True
2,1,500,0.24,0.8799283154121864,0.8736666666666667,-0.00626164874551971,True
2,1,100,0.24,0.2150537634408602,0.18166666666666664,-0.03338709677419355,True
2,1,500,0.5,0.992831541218638,1.0,0.007168458781361964,True
2,1,100,0.5,0.7096774193548387,0.681,-0.028677419354838696,True
2,2,500,0.0,0.057347670250896,0.06233333333333333,0.004985663082437329,True
2,2,100,0.0,0.068100358422939,0.07066666666666667,0.0025663082437276663,True
2,2,500,0.01,0.068100358422939,0.06233333333333333,-0.005767025089605672,True
2,2,100,0.01,0.0878136200716845,0.069,-0.018813620071684495,True
2,2,500,0.03,0.078853046594982,0.08466666666666667,0.005813620071684664,True
2,2,100,0.03,0.0125448028673835,0.07566666666666666,0.06312186379928315,False
2,2,500,0.06,0.1845878136200716,0.23666666666666666,0.05207885304659507,True
2,2,100,0.06,0.0967741935483871,0.11266666666666665,0.015892473118279557,True
2,2,500,0.12,0.6505376344086021,0.7126666666666667,0.06212903225806454,True
2,2,100,0.12,0.1630824372759856,0.18266666666666667,0.01958422939068108,True
2,2,500,0.24,0.989247311827957,0.9996666666666667,0.010419354838709705,True
2,2,100,0.24,0.3673835125448029,0.48033333333333333,0.11294982078853044,False
2,2,100,0.5,0.8458781362007168,0.9233333333333333,0.0774551971326165,False
2,3,500,0.0,0.0663082437275985,0.057999999999999996,-0.008308243727598502,True
2,3,100,0.0,0.0806451612903225,0.07300000000000001,-0.007645161290322486,True
2,3,500,0.01,0.5053763440860215,0.5556666666666666,0.05029032258064514,True
2,3,100,0.01,0.1344086021505376,0.15933333333333333,0.02492473118279573,True
2,3,500,0.03,0.9910394265232976,1.0,0.008960573476702427,True
2,3,100,0.03,0.5394265232974911,0.636,0.09657347670250893,False
2,3,500,0.06,0.992831541218638,1.0,0.007168458781361964,True
2,3,100,0.06,0.8709677419354839,0.9546666666666667,0.08369892473118279,True
2,3,500,0.12,0.992831541218638,1.0,0.007168458781361964,True
2,3,500,0.24,0.992831541218638,1.0,0.007168458781361964,True
2,3,500,0.5,0.9910394265232976,1.0,0.008960573476702427,True
2,3,100,0.5,0.7974910394265233,1.0,0.20250896057347667,False
3,4,500,0.0,0.057347670250896,0.052,-0.005347670250896004,True
3,4,100,0.0,0.0698924731182795,0.067,-0.00289247311827949,True
3,4,500,0.01,0.068100358422939,0.06333333333333334,-0.004767025089605664,True
3,4,100,0.01,0.014336917562724,0.04700000000000001,0.032663082437276,True
3,4,500,0.03,0.0985663082437275,0.09766666666666668,-0.0008996415770608224,True
3,4,100,0.03,0.07168458781362,0.06,-0.011684587813620001,True
3,4,500,0.06,0.2258064516129032,0.19400000000000003,-0.03180645161290316,True
3,4,100,0.06,0.0949820788530466,0.08633333333333333,-0.008648745519713272,True
3,4,500,0.12,0.7813620071684588,0.7263333333333333,-0.05502867383512555,True
3,4,100,0.12,0.2186379928315411,0.18300000000000002,-0.035637992831541065,True
3,4,500,0.24,0.9910394265232976,1.0,0.008960573476702427,True
3,4,100,0.24,0.7007168458781362,0.6506666666666666,-0.05005017921146959,True
3,4,100,0.5,0.985663082437276,1.0,0.014336917562724039,True
3,4,500,0.0,0.0557553956834532,0.054,-0.0017553956834532036,True
3,4,500,0.01,0.0683453237410072,0.051666666666666666,-0.016678657074340533,True
3,4,100,0.01,0.0125899280575539,0.055999999999999994,0.043410071942446095,True
3,4,500,0.03,0.093525179856115,0.07466666666666666,-0.01885851318944834,True
3,4,100,0.03,0.0719424460431654,0.06966666666666667,-0.0022757793764987266,True
3,4,500,0.06,0.2338129496402877,0.133,-0.1008129496402877,False
3,4,100,0.06,0.093525179856115,0.065,-0.028525179856114996,True
3,4,500,0.12,0.7661870503597122,0.527,-0.23918705035971222,False
3,4,100,0.12,0.1726618705035971,0.11399999999999999,-0.05866187050359711,True
3,4,500,0.24,0.9928057553956836,0.999,0.00619424460431639,True
3,4,100,0.24,0.6690647482014389,0.468,-0.20106474820143888,False
3,4,500,0.5,0.9928057553956836,1.0,0.007194244604316391,True
3,4,100,0.5,0.9928057553956836,0.9996666666666667,0.006860911270983094,True
4,1,500,0.0,0.0151515151515151,0.041499999999999995,0.026348484848484895,True
4,1,100,0.0,0.0281385281385281,0.051000000000000004,0.022861471861471902,True
4,1,500,0.01,0.0108225108225108,0.0435,0.032677489177489194,True
4,1,100,0.01,0.0281385281385281,0.052000000000000005,0.023861471861471903,True
4,1,500,0.03,0.0259740259740259,0.073,0.047025974025974096,True
4,1,100,0.03,0.0086580086580086,0.047,0.0383419913419914,True
4,1,500,0.06,0.0714285714285714,0.181,0.1095714285714286,False
4,1,100,0.06,0.0367965367965368,0.0645,0.027703463203463202,True
4,1,500,0.12,0.3268398268398268,0.5569999999999999,0.23016017316017312,False
4,1,100,0.12,0.0779220779220778,0.1385,0.06057792207792222,True
4,1,500,0.24,0.9567099567099568,0.9944999999999999,0.037790043290043096,True
4,1,100,0.24,0.2943722943722944,0.455,0.16062770562770562,False
4,1,100,0.5,0.9090909090909092,0.968,0.0589090909090908,True
4,2,500,0.0,0.0194805194805194,0.0385,0.0190194805194806,True
4,2,500,0.01,0.0194805194805194,0.044,0.024519480519480597,True
4,2,100,0.01,0.0324675324675324,0.0475,0.015032467532467599,True
4,2,500,0.03,0.0519480519480519,0.1295,0.0775519480519481,False
4,2,100,0.03,0.0281385281385281,0.067,0.0388614718614719,True
4,2,500,0.06,0.1991341991341991,0.4165,0.21736580086580087,False
4,2,100,0.06,0.0692640692640692,0.11449999999999999,0.045235930735930796,True
4,2,500,0.12,0.8008658008658008,0.9484999999999999,0.14763419913419906,False
4,2,100,0.12,0.1818181818181817,0.2995,0.11768181818181828,False
4,2,500,0.24,0.9935064935064934,1.0,0.006493506493506551,True
