,alignment,table,cause,effect,tau,lags,k,b,n_subsamples,statistic,paper_p,reproduced_p,difference,same_decision_5pct,same_decision_1pct
149,gold_offset,table3,oil,gold,[0.10;0.90],2,5,129,3310,2.270753,0.0,0.0,0.0,True,True
150,gold_offset,table3,oil,gold,[0.10;0.90],3,3,77,3362,1.188902,0.0,0.0,0.0,True,True
151,gold_offset,table3,oil,gold,[0.10;0.90],3,4,103,3336,1.188902,0.0,0.0,0.0,True,True
152,gold_offset,table3,oil,gold,[0.10;0.90],3,5,129,3310,1.188902,0.0,0.0,0.0,True,True
153,gold_offset,table3,oil,gold,0.10,1,3,77,3362,1.240785,0.0,0.0,0.0,True,True
154,gold_offset,table3,oil,gold,0.10,1,4,103,3336,1.240785,0.0,0.0,0.0,True,True
155,gold_offset,table3,oil,gold,0.10,1,5,129,3310,1.240785,0.0,0.0,0.0,True,True
156,gold_offset,table3,oil,gold,0.10,2,3,77,3362,0.653808,0.0,0.0,0.0,True,True
157,gold_offset,table3,oil,gold,0.10,2,4,103,3336,0.653808,0.0,0.0,0.0,True,True
158,gold_offset,table3,oil,gold,0.10,2,5,129,3310,0.653808,0.0,0.0,0.0,True,True
159,gold_offset,table3,oil,gold,0.10,3,3,77,3362,0.411882,0.0,0.0,0.0,True,True
160,gold_offset,table3,oil,gold,0.10,3,4,103,3336,0.411882,0.0,0.0,0.0,True,True
161,gold_offset,table3,oil,gold,0.10,3,5,129,3310,0.411882,0.0,0.0,0.0,True,True
162,gold_offset,table3,oil,gold,0.50,1,3,77,3362,0.365141,0.294,0.082094,-0.211906,True,True
163,gold_offset,table3,oil,gold,0.50,1,4,103,3336,0.365141,0.294,0.065947,-0.228053,True,True
164,gold_offset,table3,oil,gold,0.50,1,5,129,3310,0.365141,0.294,0.06284,-0.23116,True,True
165,gold_offset,table3,oil,gold,0.50,2,3,77,3362,0.220573,0.265,0.44765,0.18265,True,True
166,gold_offset,table3,oil,gold,0.50,2,4,103,3336,0.220573,0.265,0.431655,0.166655,True,True
167,gold_offset,table3,oil,gold,0.50,2,5,129,3310,0.220573,0.265,0.435952,0.170952,True,True
168,gold_offset,table3,oil,gold,0.50,3,3,77,3362,0.248323,0.323,0.309042,-0.013958,True,True
169,gold_offset,table3,oil,gold,0.50,3,4,103,3336,0.248323,0.323,0.295863,-0.027137,True,True
170,gold_offset,table3,oil,gold,0.50,3,5,129,3310,0.248323,0.323,0.297281,-0.025719,True,True
171,gold_offset,table3,oil,gold,0.90,1,3,77,3362,1.196493,0.0,0.0,0.0,True,True
172,gold_offset,table3,oil,gold,0.90,1,4,103,3336,1.196493,0.0,0.0,0.0,True,True
173,gold_offset,table3,oil,gold,0.90,1,5,129,3310,1.196493,0.0,0.0,0.0,True,True
174,gold_offset,table3,oil,gold,0.90,2,3,77,3362,0.777162,0.0,0.0,0.0,True,True
175,gold_offset,table3,oil,gold,0.90,2,4,103,3336,0.777162,0.0,0.0,0.0,True,True
176,gold_offset,table3,oil,gold,0.90,2,5,129,3310,0.777162,0.0,0.0,0.0,True,True
177,gold_offset,table3,oil,gold,0.90,3,3,77,3362,0.440948,0.0,0.0,0.0,True,True
178,gold_offset,table3,oil,gold,0.90,3,4,103,3336,0.440948,0.0,0.0,0.0,True,True
179,gold_offset,table3,oil,gold,0.90,3,5,129,3310,0.440948,0.0,0.0,0.0,True,True
180,gold_offset,table3,usdgbp,gold,[0.10;0.90],1,3,77,3362,5.026211,0.0,0.0,0.0,True,True
181,gold_offset,table3,usdgbp,gold,[0.10;0.90],1,4,103,3336,5.026211,0.0,0.0,0.0,True,True
